county_name,block_id,cbg_id,Coop
Choctaw,280199502004048,280199502004,4-County EPA
Choctaw,280199502004049,280199502004,4-County EPA
Choctaw,280199502004050,280199502004,4-County EPA
Choctaw,280199502004051,280199502004,4-County EPA
Choctaw,280199502004058,280199502004,4-County EPA
Choctaw,280199502004059,280199502004,4-County EPA
Choctaw,280199502004061,280199502004,4-County EPA
Choctaw,280199502004062,280199502004,4-County EPA
Choctaw,280199502004063,280199502004,4-County EPA
Choctaw,280199502004064,280199502004,4-County EPA
Choctaw,280199502004069,280199502004,4-County EPA
Choctaw,280199502004070,280199502004,4-County EPA
Choctaw,280199502004071,280199502004,4-County EPA
Choctaw,280199502004072,280199502004,4-County EPA
Choctaw,280199502004075,280199502004,4-County EPA
Choctaw,280199502004076,280199502004,4-County EPA
Choctaw,280199502004077,280199502004,4-County EPA
Choctaw,280199502004078,280199502004,4-County EPA
Choctaw,280199502004079,280199502004,4-County EPA
Choctaw,280199502004080,280199502004,4-County EPA
Choctaw,280199502004083,280199502004,4-County EPA
Choctaw,280199502004084,280199502004,4-County EPA
Choctaw,280199502004086,280199502004,4-County EPA
Choctaw,280199502004088,280199502004,4-County EPA
Choctaw,280199502004089,280199502004,4-County EPA
Choctaw,280199502004090,280199502004,4-County EPA
Choctaw,280199502004091,280199502004,4-County EPA
Choctaw,280199502004093,280199502004,4-County EPA
Choctaw,280199502004099,280199502004,4-County EPA
Clay,280259501001000,280259501001,4-County EPA
Clay,280259501001001,280259501001,4-County EPA
Clay,280259501001002,280259501001,4-County EPA
Clay,280259501001003,280259501001,4-County EPA
Clay,280259501001004,280259501001,4-County EPA
Clay,280259501001005,280259501001,4-County EPA
Clay,280259501001006,280259501001,4-County EPA
Clay,280259501001007,280259501001,4-County EPA
Clay,280259501001009,280259501001,4-County EPA
Clay,280259501001011,280259501001,4-County EPA
Clay,280259501001012,280259501001,4-County EPA
Clay,280259501001016,280259501001,4-County EPA
Clay,280259501001019,280259501001,4-County EPA
Clay,280259501001027,280259501001,4-County EPA
Clay,280259501001028,280259501001,4-County EPA
Clay,280259501001030,280259501001,4-County EPA
Clay,280259501001031,280259501001,4-County EPA
Clay,280259501001032,280259501001,4-County EPA
Clay,280259501001034,280259501001,4-County EPA
Clay,280259501001036,280259501001,4-County EPA
Clay,280259501001037,280259501001,4-County EPA
Clay,280259501001040,280259501001,4-County EPA
Clay,280259501001041,280259501001,4-County EPA
Clay,280259501001042,280259501001,4-County EPA
Clay,280259501001043,280259501001,4-County EPA
Clay,280259501001044,280259501001,4-County EPA
Clay,280259501001045,280259501001,4-County EPA
Clay,280259501001046,280259501001,4-County EPA
Clay,280259501001053,280259501001,4-County EPA
Clay,280259501001056,280259501001,4-County EPA
Clay,280259501001059,280259501001,4-County EPA
Clay,280259501001061,280259501001,4-County EPA
Clay,280259501001062,280259501001,4-County EPA
Clay,280259501001064,280259501001,4-County EPA
Clay,280259501001067,280259501001,4-County EPA
Clay,280259501001071,280259501001,4-County EPA
Clay,280259501001076,280259501001,4-County EPA
Clay,280259501001078,280259501001,4-County EPA
Clay,280259501001079,280259501001,4-County EPA
Clay,280259501001081,280259501001,4-County EPA
Clay,280259501001082,280259501001,4-County EPA
Clay,280259501001084,280259501001,4-County EPA
Clay,280259501001085,280259501001,4-County EPA
Clay,280259501001086,280259501001,4-County EPA
Clay,280259501001088,280259501001,4-County EPA
Clay,280259501001089,280259501001,4-County EPA
Clay,280259501002000,280259501002,4-County EPA
Clay,280259501002003,280259501002,4-County EPA
Clay,280259501002004,280259501002,4-County EPA
Clay,280259501002010,280259501002,4-County EPA
Clay,280259501002012,280259501002,4-County EPA
Clay,280259501002015,280259501002,4-County EPA
Clay,280259501002018,280259501002,4-County EPA
Clay,280259501002019,280259501002,4-County EPA
Clay,280259501002020,280259501002,4-County EPA
Clay,280259501002023,280259501002,4-County EPA
Clay,280259501002024,280259501002,4-County EPA
Clay,280259501002025,280259501002,4-County EPA
Clay,280259501002026,280259501002,4-County EPA
Clay,280259501002027,280259501002,4-County EPA
Clay,280259501002028,280259501002,4-County EPA
Clay,280259501002029,280259501002,4-County EPA
Clay,280259501002030,280259501002,4-County EPA
Clay,280259501002033,280259501002,4-County EPA
Clay,280259501002035,280259501002,4-County EPA
Clay,280259501002036,280259501002,4-County EPA
Clay,280259501002037,280259501002,4-County EPA
Clay,280259501002038,280259501002,4-County EPA
Clay,280259501002042,280259501002,4-County EPA
Clay,280259501002044,280259501002,4-County EPA
Clay,280259501002045,280259501002,4-County EPA
Clay,280259501002046,280259501002,4-County EPA
Clay,280259501003001,280259501003,4-County EPA
Clay,280259501003003,280259501003,4-County EPA
Clay,280259501003007,280259501003,4-County EPA
Clay,280259501003014,280259501003,4-County EPA
Clay,280259501003017,280259501003,4-County EPA
Clay,280259501003019,280259501003,4-County EPA
Clay,280259501003020,280259501003,4-County EPA
Clay,280259501003021,280259501003,4-County EPA
Clay,280259501003022,280259501003,4-County EPA
Clay,280259501003023,280259501003,4-County EPA
Clay,280259501003025,280259501003,4-County EPA
Clay,280259501003027,280259501003,4-County EPA
Clay,280259501003029,280259501003,4-County EPA
Clay,280259501003032,280259501003,4-County EPA
Clay,280259501003035,280259501003,4-County EPA
Clay,280259501003036,280259501003,4-County EPA
Clay,280259501003043,280259501003,4-County EPA
Clay,280259501003048,280259501003,4-County EPA
Clay,280259501003052,280259501003,4-County EPA
Clay,280259501003070,280259501003,4-County EPA
Clay,280259501003071,280259501003,4-County EPA
Clay,280259501003077,280259501003,4-County EPA
Clay,280259501003078,280259501003,4-County EPA
Clay,280259501003087,280259501003,4-County EPA
Clay,280259501004004,280259501004,4-County EPA
Clay,280259501004005,280259501004,4-County EPA
Clay,280259501004030,280259501004,4-County EPA
Clay,280259501004031,280259501004,4-County EPA
Clay,280259501004045,280259501004,4-County EPA
Clay,280259501004059,280259501004,4-County EPA
Clay,280259501004060,280259501004,4-County EPA
Clay,280259501004062,280259501004,4-County EPA
Clay,280259501004072,280259501004,4-County EPA
Clay,280259501004091,280259501004,4-County EPA
Clay,280259501004106,280259501004,4-County EPA
Clay,280259501004111,280259501004,4-County EPA
Clay,280259501004127,280259501004,4-County EPA
Clay,280259502001001,280259502001,4-County EPA
Clay,280259502001003,280259502001,4-County EPA
Clay,280259502001005,280259502001,4-County EPA
