NAME,GEOID,County,Popup_Allocated,Popup_Spent,Popup_Percent,Expend_Total_SB3044_HB 1797,Allocated_Total_SB3044_HB 1797,Expend_prcnt_SB3044_HB 1797,Expend_HB1792_SB3044,Allocated_HB1792_SB3044,Expend_prcnt_HB1792_SB3044,Expend_HB1788_HB1797,Allocated_HB1788_HB1797,Expend_prcnt_HB1788_HB1797,Teaching_Fall20,Teaching_Spring21,Teaching_Fall21
Lawrence County School District,2802490,Lawrence County,"1,242,546.83","947,236.80",76.2,947236.80,1242546.83,0.7623,852970.00,874162.00,0.9758,94266.80,368384.83,0.2559,Hybrid,Traditional,Traditional
Leake County School District,2802520,Leake County,"1,292,264.78","1,271,690.78",98.4,1271690.78,1292264.78,0.9841,918520.00,939094.00,0.9781,353170.78,353170.78,1.0000,Hybrid,Hybrid,Hybrid
Lee County School District,2802550,Lee County,"2,689,637.93","2,354,857.87",87.6,2354857.87,2689637.93,0.8755,1948993.87,1975828.00,0.9864,405864.00,713809.93,0.5686,Hybrid,Hybrid,Traditional
Leland School District ,2802610,Washington County,"363,607.23","351,644.00",96.7,351644.00,363607.23,0.9671,280238.00,290329.00,0.9652,71406.00,73278.23,0.9745,Hybrid,Traditional,Traditional
Lincoln County School District,2802640,Lincoln County,"1,136,951.56","1,118,856.76",98.4,1118856.76,1136951.56,0.9841,868445.00,873003.00,0.9948,250411.76,263948.56,0.9487,Traditional,Traditional,Traditional
Long Beach School District,2802670,Harrison County,"1,003,480.64","1,003,480.64",100.0,1003480.64,1003480.64,1.0000,881286.00,881286.00,1.0000,122194.64,122194.64,1.0000,Hybrid,Hybrid,Traditional
Louisville Municipal School District,2802700,Winston County,"1,082,186.01","1,065,200.43",98.4,1065200.43,1082186.01,0.9843,754446.42,771432.00,0.9780,310754.01,310754.01,1.0000,Hybrid,Hybrid,Traditional
Lowndes County School District,2802730,Lowndes County,"3,629,765.48","3,500,108.48",96.4,3500108.48,3629765.48,0.9643,2585039.00,2714696.00,0.9522,915069.48,915069.48,1.0000,Unknown,Hybrid,Traditional
Madison County School District,2802790,Madison County,"4,102,523.17","5,536,034.07",134.9,5536034.07,4102523.17,1.3494,5188875.90,3755365.00,1.3817,347158.17,347158.17,1.0000,Virtual,Traditional,Traditional
Marion County School District,2802820,Marion County,"1,175,725.27","1,243,254.99",105.7,1243254.99,1175725.27,1.0574,871068.36,803215.00,1.0845,372186.63,372510.27,0.9991,Traditional,Traditional,Traditional
